                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.5866,                  1.657,                 1.2169,                0.32414,                0.13012,                 0.1405,                0.04513,                 2.6515,                 3.3006,                 2.0018,             0.00035662,             0.00035662,             0.00035662
                     68,                 1.5291,                 1.6426,                 1.1942,                0.30791,                0.18755,                0.15852,                0.05873,                 2.5767,                 3.3211,                 1.9493,             0.00035028,             0.00035028,             0.00035028
                     69,                 1.5697,                  1.715,                 1.2154,                0.18749,                0.17311,                 0.1386,                0.04666,                 2.6631,                 3.4151,                 1.9988,             0.00034394,             0.00034394,             0.00034394
                     70,                 1.5411,                 1.6533,                 1.2217,                0.13775,                 0.1659,                0.13445,                0.04217,                 2.6199,                 3.2772,                 2.0783,             0.00033759,             0.00033759,             0.00033759
                     71,                  1.486,                 1.5942,                 1.1776,                 0.1781,                0.15576,                0.11866,                0.04006,                 2.6815,                 3.4115,                  2.053,             0.00033125,             0.00033125,             0.00033125
                     72,                 1.4992,                 1.6049,                 1.1795,                0.16094,                0.12814,                0.11745,                0.04666,                 2.6416,                 3.4026,                 2.0215,              0.0003249,              0.0003249,              0.0003249
                     73,                 1.4601,                 1.5558,                 1.1979,                0.22563,                0.13733,                0.11285,                0.04144,                 2.5839,                 3.3604,                 1.9689,             0.00031856,             0.00031856,             0.00031856
                     74,                  1.472,                 1.5201,                 1.1844,                0.34874,                0.14448,                0.12936,                0.04183,                 2.5287,                 3.5252,                 1.9593,             0.00031221,             0.00031221,             0.00031221
                     75,                 1.4787,                 1.5343,                 1.1884,                0.37981,                0.14908,                0.13203,                0.04772,                 2.4981,                 3.3043,                 1.9046,             0.00030587,             0.00030587,             0.00030587
                     76,                 1.4717,                 1.5839,                 1.1729,                0.16138,                0.15361,                0.13657,                0.05425,                 2.5558,                 3.3787,                 1.9271,             0.00029953,             0.00029953,             0.00029953
                     77,                 1.4448,                 1.5358,                 1.1675,                0.35206,                0.13776,                0.13524,                0.04386,                 2.5594,                  3.369,                 1.9704,             0.00029318,             0.00029318,             0.00029318
                     78,                 1.4773,                 1.5812,                 1.1611,                0.59939,                0.13109,                0.14957,                0.04454,                 2.6074,                 3.4261,                 2.0142,             0.00028684,             0.00028684,             0.00028684
                     79,                 1.4525,                 1.4869,                 1.1619,                0.18296,                0.17848,                0.12284,                0.04577,                 2.6418,                 3.4688,                 1.9882,             0.00028049,             0.00028049,             0.00028049
                     80,                 1.4186,                 1.4328,                 1.1658,                0.20729,                0.14942,                0.12003,                0.04917,                 2.6739,                  3.578,                 2.0624,             0.00027415,             0.00027415,             0.00027415
                     81,                 1.4511,                  1.502,                 1.1603,                0.20135,                0.15535,                0.13238,                0.04576,                 2.6597,                  3.297,                 1.9903,              0.0002678,              0.0002678,              0.0002678
