                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.1596,                 1.0118,                 1.0492,                0.28241,                 0.2261,                0.15192,                0.05158,                 2.7437,                 3.7399,                 2.1113,             0.00033886,             0.00033886,             0.00033886
                    116,                 1.1412,                0.99882,                 1.0588,                0.43617,                0.19379,                0.14615,                0.04678,                 2.7674,                 3.6471,                 2.1365,             0.00033505,             0.00033505,             0.00033505
                    117,                 1.0879,                0.97111,                 1.0351,                0.40558,                0.22206,                0.16439,                0.04992,                 2.7248,                 3.7264,                 2.1293,             0.00033125,             0.00033125,             0.00033125
                    118,                 1.1448,                0.99684,                 1.0404,                 0.3995,                0.22393,                  0.152,                 0.0609,                 2.7374,                 3.7289,                  2.109,             0.00032744,             0.00032744,             0.00032744
                    119,                 1.1136,                0.95882,                 1.0244,                0.47462,                 0.2117,                0.18594,                0.05808,                  2.822,                 3.6208,                 2.1258,             0.00032363,             0.00032363,             0.00032363
                    120,                 1.1958,                0.98184,                 1.0593,                 0.5019,                0.22906,                0.17072,                0.05662,                 2.8238,                 3.6063,                 2.1703,             0.00031983,             0.00031983,             0.00031983
                    121,                 1.1191,                0.93857,                 1.0375,                0.45445,                0.18617,                0.14264,                0.04563,                 2.8122,                 3.7498,                 2.1131,             0.00031602,             0.00031602,             0.00031602
                    122,                 1.1401,                0.97651,                 1.0465,                0.17807,                0.21964,                0.15053,                0.05155,                 2.7881,                 3.6629,                 2.0972,             0.00031221,             0.00031221,             0.00031221
                    123,                  1.119,                0.96216,                 1.0332,                0.24202,                0.26608,                0.16249,                0.06788,                 2.6967,                 3.5145,                 2.0239,             0.00030841,             0.00030841,             0.00030841
                    124,                 1.1361,                0.96963,                 1.0451,                0.30665,                0.23121,                0.18142,                0.06762,                 2.7254,                 3.5368,                  2.022,              0.0003046,              0.0003046,              0.0003046
                    125,                 1.0941,                0.91662,                  1.028,                0.27615,                0.21678,                0.16818,                0.07746,                 2.7066,                 3.6619,                 1.9819,             0.00030079,             0.00030079,             0.00030079
                    126,                  1.118,                0.94042,                  1.016,                0.23829,                0.22502,                0.16891,                0.06897,                 2.7205,                 3.6691,                 2.0973,             0.00029699,             0.00029699,             0.00029699
                    127,                 1.1238,                0.94623,                 1.0409,                 0.3862,                0.19905,                 0.1662,                0.06974,                 2.7003,                 3.6806,                 2.0864,             0.00029318,             0.00029318,             0.00029318
                    128,                 1.1005,                0.93151,                 1.0292,                0.29624,                0.22546,                0.16899,                0.05634,                 2.7358,                 3.4529,                 2.0494,             0.00028937,             0.00028937,             0.00028937
                    129,                 1.0931,                 0.9118,                 1.0206,                 0.3738,                0.21489,                 0.1709,                0.06461,                  2.741,                 3.6461,                 2.1614,             0.00028557,             0.00028557,             0.00028557
                    130,                 1.1145,                0.92529,                  1.033,                 0.4292,                0.18776,                0.17031,                0.06188,                 2.7403,                 3.5226,                 2.1181,             0.00028176,             0.00028176,             0.00028176
                    131,                 1.1293,                0.93165,                 1.0259,                0.23499,                0.22489,                0.18537,                 0.0557,                 2.7966,                 3.6506,                 2.1055,             0.00027796,             0.00027796,             0.00027796
                    132,                 1.0781,                0.91575,                  1.016,                0.18228,                 0.1578,                 0.1363,                0.04796,                 2.7976,                  3.741,                 2.1401,             0.00027415,             0.00027415,             0.00027415
                    133,                  1.078,                0.91731,                 1.0206,                0.23952,                0.23141,                0.16315,                0.05557,                 2.6903,                 3.6245,                 2.0164,             0.00027034,             0.00027034,             0.00027034
                    134,                  1.081,                0.91466,                 1.0197,                0.21399,                0.21687,                0.14914,                0.05592,                 2.7242,                 3.6376,                  2.075,             0.00026654,             0.00026654,             0.00026654
                    135,                  1.077,                0.90832,                 1.0237,                0.21845,                0.20585,                0.15602,                0.05221,                 2.7468,                 3.5516,                  2.088,             0.00026273,             0.00026273,             0.00026273
                    136,                 1.0528,                0.85829,                 1.0194,                0.13497,                0.18478,                0.14106,                0.05457,                 2.7169,                 3.6822,                 2.1192,             0.00025892,             0.00025892,             0.00025892
                    137,                 1.0758,                0.89384,                 1.0116,                0.15161,                0.21431,                 0.1455,                0.05761,                 2.6966,                 3.6541,                 2.0968,             0.00025512,             0.00025512,             0.00025512
                    138,                  1.031,                0.84826,                 1.0159,                0.26453,                0.23282,                0.17735,                0.06463,                  2.723,                  3.726,                 2.0882,             0.00025131,             0.00025131,             0.00025131
                    139,                 1.0552,                0.87528,                0.99471,                0.21344,                0.26567,                0.17465,                0.06974,                 2.7663,                 3.6054,                  2.098,              0.0002475,              0.0002475,              0.0002475
                    140,                 1.0289,                0.86785,                 1.0043,                0.23603,                0.26177,                0.17429,                0.06243,                 2.6742,                 3.5955,                 2.0288,              0.0002437,              0.0002437,              0.0002437
